Area: Nirman Vihar, Location: (28.63361, 77.28226), Eat and Drink: 100, Entertainment: 63, Transport: 51, Leisure: 100, Shopping: 100, Services: 100, Facilities: 100.
Area: Sunil Medical, Location: (28.6327, 77.28046), Eat and Drink: 100, Entertainment: 71, Transport: 56, Leisure: 100, Shopping: 100, Services: 100, Facilities: 100.
Area: Shanti Niketan Apartment, Location: (28.62567, 77.29413), Eat and Drink: 79, Entertainment: 49, Transport: 15, Leisure: 6, Shopping: 100, Services: 100, Facilities: 100.
Area: Puja Apartment, Location: (28.63312, 77.30028), Eat and Drink: 100, Entertainment: 26, Transport: 14, Leisure: 5, Shopping: 100, Services: 100, Facilities: 100.
Area: Kanchanjunga Apartments, Location: (28.6379, 77.3008), Eat and Drink: 87, Entertainment: 29, Transport: 5, Leisure: 8, Shopping: 100, Services: 100, Facilities: 100.
Area: Gupta Tower, Location: (28.63218, 77.28611), Eat and Drink: 100, Entertainment: 40, Transport: 32, Leisure: 79, Shopping: 100, Services: 100, Facilities: 100.
Area: Himalya Apartments, Location: (28.63265, 77.30463), Eat and Drink: 100, Entertainment: 27, Transport: 10, Leisure: 14, Shopping: 100, Services: 100, Facilities: 100.
Area: Gitanjali Apartment, Location: (28.65064, 77.29976), Eat and Drink: 100, Entertainment: 71, Transport: 19, Leisure: 24, Shopping: 100, Services: 100, Facilities: 100.
Area: Preet Vihar, Location: (28.6442, 77.29583), Eat and Drink: 100, Entertainment: 65, Transport: 21, Leisure: 31, Shopping: 100, Services: 100, Facilities: 100.
Area: Prakash Building, Location: (28.63347, 77.28093), Eat and Drink: 100, Entertainment: 59, Transport: 56, Leisure: 100, Shopping: 100, Services: 100, Facilities: 100.
Area: Gagan Vihar-Alternate Gate, Location: (28.64537, 77.29729), Eat and Drink: 100, Entertainment: 68, Transport: 16, Leisure: 31, Shopping: 100, Services: 100, Facilities: 100.
Area: Dda Flats Chitra Vihar, Location: (28.64322, 77.28931), Eat and Drink: 46, Entertainment: 45, Transport: 2, Leisure: 17, Shopping: 100, Services: 100, Facilities: 100.
Area: Ranav Complexes, Location: (28.63241, 77.27899), Eat and Drink: 100, Entertainment: 79, Transport: 59, Leisure: 100, Shopping: 100, Services: 100, Facilities: 100.
Area: Chaudhary Complex, Location: (28.63575, 77.28588), Eat and Drink: 100, Entertainment: 54, Transport: 45, Leisure: 78, Shopping: 100, Services: 100, Facilities: 100.
Area: Gourav Society, Location: (28.63375, 77.30567), Eat and Drink: 100, Entertainment: 33, Transport: 13, Leisure: 16, Shopping: 100, Services: 100, Facilities: 100.
Area: Paradise Apartment, Location: (28.64403, 77.29848), Eat and Drink: 100, Entertainment: 63, Transport: 21, Leisure: 27, Shopping: 100, Services: 100, Facilities: 100.
Area: Ganesh Nagar, Location: (28.62804, 77.28513), Eat and Drink: 80, Entertainment: 41, Transport: 13, Leisure: 26, Shopping: 100, Services: 100, Facilities: 100.
Area: Nirman Vihar, Location: (28.64245, 77.28405), Eat and Drink: 80, Entertainment: 56, Transport: 5, Leisure: 21, Shopping: 100, Services: 100, Facilities: 100.
Area: Al-Latif Tower, Location: (28.64381, 77.27924), Eat and Drink: 93, Entertainment: 53, Transport: 8, Leisure: 14, Shopping: 100, Services: 100, Facilities: 100.
